text_id,filename,mean_icd,min_icd,max_icd,min_inter,max_inter,mean_inter,silhouette,davies_bouldin,sdbw,cvnn,uniqueness_ratio,total_clusters,cluster_distribution,human,bot
newlstm_by_20k,part_586.txt,12.361962761113393,3.5177253487762354,21.7780172389003,5.240261465072441,9.046829727132677,6.98789257924499,0.053462423,2.8771401305571573,0.3744655553918434,0.7474627334464188,0.0708076099281844,6,"[137.0, 107.0, 132.0, 124.0, 107.0, 230.0]",0,1
newlstm_by_20k,part_587.txt,12.114946419080248,4.026934075264036,20.767970309717526,4.492965380979225,11.263661671771024,8.110982891500061,0.04676141,2.65578898098102,0.3190554337453346,0.732514740590327,0.0744547505640511,8,"[212.0, 78.0, 127.0, 53.0, 64.0, 135.0, 100.0, 91.0]",0,1
newlstm_by_20k,part_588.txt,12.489146478078396,4.183218600600217,21.84981723658838,5.201125001370567,11.124563038827077,8.126150823968771,0.056378454,2.70626803142917,0.4110782689284894,0.7342239670929123,0.0708898944193061,5,"[346.0, 124.0, 28.0, 192.0, 161.0]",0,1
newlstm_by_20k,part_589.txt,12.540071315351362,3.6876318194879634,22.494082103831868,5.150938238256788,12.83285644500657,8.593120363155277,0.060020685,2.6601624104793222,0.361363194554024,0.7434474902589363,0.0725957340651116,6,"[291.0, 170.0, 60.0, 92.0, 119.0, 119.0]",0,1
newlstm_by_20k,part_590.txt,12.783008563911835,2.9990262741995246,23.92237608344057,5.360019284890322,7.719799791708922,6.806176273539762,0.07030104,2.897210145501555,0.4758849065021368,0.7470129874897907,0.074585635359116,4,"[91.0, 155.0, 339.0, 281.0]",0,1
newlstm_by_20k,part_591.txt,12.938584558161098,2.682679559687914,24.475468812905973,4.901058441530209,6.810210077855823,6.121560162446166,0.062440455,3.2551129415620235,0.5586184575387809,0.7530669441881855,0.074433249370277,3,"[403.0, 234.0, 226.0]",0,1
newlstm_by_20k,part_592.txt,12.767849315274024,4.147883046285685,22.190261495132457,5.775545186342313,10.649031590726503,8.288748276759593,0.089963466,2.625843726299298,0.383865228377807,0.7300260140229081,0.0718308096608684,6,"[303.0, 121.0, 84.0, 207.0, 79.0, 52.0]",0,1
newlstm_by_20k,part_593.txt,12.25586305394138,4.595820454232021,20.111429820197444,5.1257906681364975,14.701188273020982,9.567914232954283,0.0613961,2.4509864622719166,0.3157037578188761,0.7160344271599237,0.0715353938185443,8,"[135.0, 80.0, 66.0, 100.0, 90.0, 104.0, 184.0, 88.0]",0,1
newlstm_by_20k,part_594.txt,12.44957482915312,3.64040806914764,22.42986484476957,5.280550807897823,10.478434214415064,7.496267147176454,0.054683316,2.787369841730549,0.3739779197200631,0.7434028984597706,0.0721364947936269,6,"[216.0, 161.0, 165.0, 116.0, 154.0, 43.0]",0,1
newlstm_by_20k,part_595.txt,13.02565828001471,3.268801367720336,23.620790956112764,5.07032285695026,7.89246800730119,6.953263223990833,0.06523965,3.016455692393324,0.4827890787781941,0.7474767955936304,0.0716270843860535,4,"[181.0, 217.0, 191.0, 245.0]",0,1
newlstm_by_20k,part_596.txt,12.309870882375424,3.730405346215016,22.06923188964388,4.944909146650759,9.087761512254945,6.976404442051303,0.041442454,2.8731312213151794,0.3748337107930389,0.750461208352883,0.0723998992697053,6,"[93.0, 137.0, 167.0, 200.0, 140.0, 110.0]",0,1
newlstm_by_20k,part_597.txt,12.323592535144034,4.353220880507606,21.079647498981466,4.909144494921115,12.94808709240284,8.42316491274854,0.053100534,2.7333641025059734,0.3199091590317937,0.7356256877337602,0.0731737566662532,8,"[160.0, 155.0, 95.0, 51.0, 155.0, 64.0, 95.0, 97.0]",0,1
newlstm_by_20k,part_598.txt,12.391017851913432,3.51671774726366,22.588974697104607,4.704175537495758,8.482349756053472,6.6779904446697085,0.045103855,3.0202954238348525,0.4135926613108894,0.7493810860307852,0.0721380680407251,5,"[207.0, 107.0, 197.0, 141.0, 202.0]",0,1
newlstm_by_20k,part_599.txt,13.124389140654571,2.769128769464112,24.96742399504871,5.217780054427558,7.637479339668721,6.484567553018431,0.06842983,3.120150153214236,0.5606332797658976,0.754395974099912,0.0719587369480437,3,"[273.0, 382.0, 187.0]",0,1
newlstm_by_20k,part_600.txt,12.57272756203984,3.910398812209933,22.28659495414264,4.758372344647221,9.909750245400096,7.519856909839301,0.053300858,2.873077245025633,0.3798634916441178,0.7431529229169875,0.0700922923422299,6,"[211.0, 188.0, 151.0, 98.0, 68.0, 104.0]",0,1
newlstm_by_20k,part_601.txt,12.88372759914797,3.478077854514974,23.12894865708386,5.024457982812203,7.951035538276919,6.894386186168594,0.06336253,3.016606185191403,0.480766521200586,0.7499208388457563,0.0737361282367447,4,"[373.0, 192.0, 90.0, 218.0]",0,1
newlstm_by_20k,part_602.txt,12.460638971087224,3.5888947385974808,21.84129857291489,4.918422738982313,8.976397233687983,7.3052349883762915,0.05159298,2.843510439290481,0.3756691286734849,0.7431477024675304,0.0718144683093951,6,"[186.0, 93.0, 125.0, 145.0, 149.0, 113.0]",0,1
newlstm_by_20k,part_603.txt,12.908900727159144,2.1768578333605384,24.927964223001208,5.071872296931717,7.011228682068952,6.2347256649733405,0.06577197,3.139985326120476,0.5562566648187648,0.7556266585935631,0.0740553519524832,3,"[334.0, 244.0, 286.0]",0,1
newlstm_by_20k,part_604.txt,12.5921194935839,3.969208028384795,22.461697018787863,5.165898050767891,10.599871300437004,8.105983921112458,0.07006738,2.723962704298032,0.4176710457172263,0.7314204845014727,0.0722257053291536,5,"[153.0, 272.0, 213.0, 125.0, 90.0]",0,1
newlstm_by_20k,part_605.txt,12.917668394231814,2.5375482835051693,23.729385870422,5.054542193187141,6.554916391371055,5.84186669626177,0.056744203,3.3202179972948787,0.5552662140281783,0.7586927415097878,0.073474001507159,3,"[233.0, 251.0, 355.0]",0,1
newlstm_by_20k,part_606.txt,12.326158467860145,3.538536661745664,21.838698772987627,5.297860569110855,9.886501821301971,7.736085041480663,0.061926566,2.7136375274723177,0.3732943585176788,0.7363256875265998,0.0707007170713297,6,"[178.0, 195.0, 92.0, 144.0, 95.0, 135.0]",0,1
newlstm_by_20k,part_607.txt,13.00013824241776,2.319458285861841,24.672142462459377,5.301450596605148,7.228709178296757,6.364831522412965,0.070679426,3.060749436455448,0.5588251053235984,0.7549737968735186,0.0730146782085058,3,"[452.0, 183.0, 218.0]",0,1
newlstm_by_20k,part_608.txt,12.26448666483524,4.237813191909456,21.48380622318398,5.383014731487153,10.20367234118449,7.997441456710306,0.06202899,2.6584706985573723,0.3420980601559823,0.7312877626683789,0.0743550834597875,7,"[96.0, 184.0, 61.0, 88.0, 49.0, 147.0, 238.0]",0,1
newlstm_by_20k,part_609.txt,12.74542114428468,3.380344314063973,22.37375693505884,4.771963927288558,8.569312867514517,7.259760853996497,0.05825163,2.952368738648765,0.422810821223004,0.7463143307320301,0.0740179360869016,5,"[124.0, 215.0, 188.0, 203.0, 113.0]",0,1
newlstm_by_20k,part_610.txt,12.704779910142204,3.4380193091132973,21.951833238750723,5.224478799637585,9.220836378422163,7.287831933249508,0.06567837,2.878819421141494,0.4231448362412346,0.7433689620249041,0.0743770450541152,5,"[106.0, 236.0, 201.0, 136.0, 171.0]",0,1
newlstm_by_20k,part_611.txt,12.599348050224773,3.4231109544724987,22.298650673394235,5.122778556577508,10.338193324311248,7.457660043080799,0.0522334,2.828422673327496,0.378595130140984,0.7449687929428384,0.0697877652933832,6,"[98.0, 167.0, 97.0, 231.0, 169.0, 63.0]",0,1
newlstm_by_20k,part_612.txt,12.8837638813539,2.522975427750452,26.58178126943428,5.3423255223937485,7.251268415981741,6.360188050065622,0.06475685,3.016144502481134,0.5558793269738718,0.7497998445020375,0.0743780780401565,3,"[189.0, 286.0, 383.0]",0,1
newlstm_by_20k,part_613.txt,12.927401391348772,3.331134401461304,22.88259131246493,5.050314027182177,8.091426881921716,6.921633304912591,0.060879283,3.0098598626105693,0.4786949694297462,0.7496712367701419,0.0718540580789277,4,"[237.0, 206.0, 205.0, 201.0]",0,1
newlstm_by_20k,part_614.txt,12.168144976455965,4.434973720647854,20.20794585504818,5.132262318390412,14.575833053097575,8.864020256332036,0.05348812,2.6198367263504303,0.3330014554081478,0.7228987356790677,0.0733829277518598,7,"[5.0, 180.0, 120.0, 114.0, 77.0, 150.0, 204.0]",0,1
newlstm_by_20k,part_615.txt,12.416639048643532,4.526392789637431,21.126268616778177,5.174422955910673,13.577779484135792,9.05372054728321,0.067029364,2.6065083451223687,0.3408475450254158,0.7200258986698078,0.0734884897546167,7,"[179.0, 60.0, 108.0, 244.0, 119.0, 57.0, 78.0]",0,1
newlstm_by_20k,part_616.txt,12.836064986546493,2.731229678334219,24.762908895605825,5.135323969726144,6.439462897410554,5.907994219240985,0.057908,3.1863071996480694,0.5520943462446868,0.7540602431193957,0.0715708239980084,3,"[280.0, 244.0, 320.0]",0,1
newlstm_by_20k,part_617.txt,12.56707383594317,4.237316507330911,22.210237218483314,5.039003056337249,12.870463649671748,8.747320178424157,0.057659544,2.6709578630404365,0.3736010573159909,0.7280110410240928,0.0739289776317452,6,"[60.0, 235.0, 84.0, 131.0, 93.0, 243.0]",0,1
newlstm_by_20k,part_618.txt,12.217473723973722,3.891867943794624,21.97119517321748,5.386173054255702,10.483386278273912,7.356611880100324,0.05203833,2.755117104275356,0.3420416697659412,0.742398640552814,0.0748290706507976,7,"[117.0, 119.0, 136.0, 79.0, 121.0, 126.0, 173.0]",0,1
newlstm_by_20k,part_619.txt,12.448184330089862,4.002778322477066,21.21634537880027,4.819539004611091,10.124963580040886,7.496744767818055,0.046622153,2.747029791314396,0.3504597707145259,0.7442449349995213,0.0740175505532239,7,"[81.0, 138.0, 128.0, 185.0, 69.0, 132.0, 114.0]",0,1
newlstm_by_20k,part_620.txt,12.552295118001886,3.744720094214337,22.77633988101024,4.907520642684082,10.61370527751174,7.706911364469979,0.056016564,2.817761386689661,0.3806673769440326,0.7385361814003057,0.0732172365577729,6,"[249.0, 121.0, 114.0, 115.0, 77.0, 171.0]",0,1
newlstm_by_20k,part_621.txt,12.606561652854005,3.5310573147134896,23.22149576567245,4.711662490659471,8.826309638225926,7.008529904907556,0.045628093,2.9774062892039925,0.4185334395750019,0.7497623045638319,0.0704348915904248,5,"[124.0, 239.0, 248.0, 122.0, 116.0]",0,1
newlstm_by_20k,part_622.txt,12.737676126475346,3.5202714063641967,23.422267190043044,5.065658087019498,12.541166543362271,8.646108561917007,0.060619913,2.699473212118328,0.3992783746393836,0.7469635261452903,0.072097963263776,5,"[341.0, 190.0, 60.0, 183.0, 77.0]",0,1
newlstm_by_20k,part_623.txt,12.610784566645956,3.4968146995855007,22.16407049715485,5.157653530500706,8.444644025076954,6.969688357487264,0.05594737,2.8988619213729705,0.4163366574071184,0.7467753216452491,0.0727066532258064,5,"[192.0, 161.0, 269.0, 87.0, 139.0]",0,1
